game_number,winner,moves
1,Draw,e4 e5 Nf3 Nc6 Bc4 Nf6 Ng5 d5 exd5 Na5 Bb5+ c6 dxc6 bxc6 Bd3 Nd5 Nf3 Bd6 O-O Nf4 Re1 Nxd3 cxd3 O-O Nxe5 c5 d4 cxd4 d3 Bxe5 Rxe5 Nc6 Re1 Bf5 Nd2 Bxd3 Nf3 Bg6 Bd2 Qd5 Rc1 Rfe8 Qa4 Rxe1+ Nxe1 Ne5 Qa5 Qe6 Qc5 d3 Qe3 Qd6 Qc5 Qe6 Qe3 Qd6 h3 h6 b3 f6 f4 Nc6 Qc5 Qd4+ Kh2 Be4 Qc4+ Qxc4 Rxc4 Re8 Kg1 Re6 g4 f5 Rc5 Rd6 Kf2 Nd4 Ke3 Rd7 h4 g6 gxf5 gxf5 h5 Kh7 Rc8 Ne2 Nf3 Rg7 Be1 Rg2 a4 a6 Rc7+ Kg8 Rc8+ Kh7 Rc7+ Kg8 Rc8+ Kg7 Rc7+ Kg8 Rc8+ Kh7 Rc7+ Kg8 Rc8+ Kg7 Rc7+ Kg8
2,Draw,e4 c5 Nf3 Nc6 Bb5 g6 Bxc6 bxc6 O-O Bg7 Re1 d6 e5 dxe5 Nxe5 Qc7 Nc4 Nh6 d3 Ng4 g3 h5 Bf4 e5 Qe2 O-O Bg5 Be6 Nbd2 f6 Be3 Nxe3 Qxe3 Qe7 Re2 Kh7 f3 Bh6 Qf2 Rad8 Rae1 Rf7 b3 Qf8 Ne4 Rd4 a4 a6 Qg2 Bd5 Nf2 Be6 a5 Qd8 Nb6 Bf8 f4 c4 bxc4 Bb4 Rf1 Qc7 fxe5 fxe5 Ne4 Rxf1+ Qxf1 Rxe4 Rxe4 Bf5 Re2 Bg4 Re4 Bf5 Rh4 Bxa5 c5 Qe7 Nc4 Qxc5+ d4 exd4 Nxa5 d3+ Qf2 Qxa5 cxd3 Bg4 h3 g5 Qf7+ Kh8 Qf8+ Kh7 Qf7+ Kh6 Qf8+ Kg6 Qg8+ Kf6 Qf8+ Kg6 Qg8+ Kh6 Qf8+ Kg6 Qg8+ Kf6 Qf8+ Kg6 Qg8+ Kh6 Qf8+ Kg6
3,Draw,e4 e5 Nf3 Nf6 d4 Nxe4 Nxe5 d5 Bd3 Nd7 Nxd7 Bxd7 O-O Qf6 Bxe4 dxe4 Nc3 O-O-O Nxe4 Qc6 Qd3 Be6 Re1 Bc4 Qc3 Bd5 Qxc6 Bxc6 Ng5 Rxd4 Nxf7 Rg8 Ne5 Bd5 Nd3 g5 Re8+ Kd7 Re3 Bd6 b3 Re4 c4 Bc6 f3 Re6 c5 Bf8 Rxe6 Kxe6 Bd2 Bg7 Re1+ Kf5 g4+ Kg6 Ne5+ Bxe5 Rxe5 h6 Re6+ Kh7 Kf2 Rf8 Re7+ Kg6 Re6+ Kh7 f4 gxf4 Re7+ Kg6 h4 h5 g5 f3 Be3 Rf7 Re5 a5 Bd4 Rf4 Re6+ Kf5 Re5+ Kg6 Re6+ Kf5 Re5+ Kg6 Re6+ Kf5 Re5+ Kg6 Re6+ Kf5 Re5+ Kg6
6,Draw,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Nxe4 d4 b5 Bb3 d5 dxe5 Be6 c3 Be7 Nbd2 Nc5 Bc2 d4 Nb3 d3 Bb1 Nxb3 axb3 Bf5 Be3 O-O Bd4 Qd5 Re1 Rad8 Rxa6 Nb8 Ra7 c5 Rxe7 Nc6 Rc7 cxd4 c4 bxc4 bxc4 Qxc4 Qd2 Rc8 Rxc8 Rxc8 Rc1 Qb3 h4 h6 h5 Kh8 Rc5 Kg8 Qc1 Qb7 Ba2 Nd8 Rxc8 Bxc8 Qd2 Qb5 Nxd4 Qxe5 Nf3 Qb5 Bb1 Bb7 Qxd3 Qxd3 Bxd3 Bxf3 gxf3 Ne6 Bc4 Nf4 b4 Nxh5 b5 Nf6 b6 Nd7 b7 Kf8 Kg2 Ke7 Kg3 Kd6 Bxf7 Kc7 Bd5 Nc5 Kh4 Nxb7 Kh5 Nc5 Bc4 Kd6 f4 Ke7 Kg6 Kf8 f5 Nd7 f4 Nf6 Be6 Ng4 Bd5 Nf6 Bc4 Ne4 Be6 Nf6 Bc4 Ng4 Ba2 Ne3 f6 gxf6 Kxf6 Ng2 Kg6 Nxf4+ Kxh6 Ne2 Bf7 Ng3 Kg5 Ke7 Bb3 Kd6 Kf6 Nh5+ Kf7 Ke5 Ke7 Nf4 Kd8 Nd5 Bxd5
4,Draw,e4 c5 Nc3 Nc6 Nge2 Nd4 d3 g6 h4 Nf6 e5 Nh5 Ne4 Nc6 N2c3 Nxe5 Nxc5 d5 d4 Nc6 Be2 Bg7 Nb3 O-O Bxh5 gxh5 Qxh5 Nb4 O-O Nxc2 Rb1 a5 Bh6 Bxh6 Qxh6 Kh8 Rbc1 Nb4 a3 Nd3 Rc2 Ra6 Qe3 Bf5 Rd2 Re6 Qf3 Be4 Nxe4 dxe4 Qe3 Qd5 Nc5 Nxc5 dxc5 Qe5 Rc1 Rg8 Qc3 Qg7 Qxg7+ Kxg7 Rd7 Rb8 b4 axb4 axb4 f5 b5 Kf7 Rc2 Rg6 Rc7 Rg4 Rd2 Ra8 g3 f4 Kh2 Rag8 Rxb7 fxg3+ fxg3 Rxg3 Rb6 e3 Re2 Rf3 Ra6 Rf5 Rxe3 Rxc5 Rf3+ Kg7 Rb3 Rb8 b6 Rc6 Kg2 Kf6 Kf3 h5 Ke4 Rd6 Rf3+ Ke6 Rb3 Kf6 Rf3+ Kg6 Rb3 Rb7 Rb5 Rb8 Rb1 Kg7 Kf5 Rf6+ Ke4 Rd6 Ke5 Rb7 Kf4 Kf6 Ke4 Rb8 Rf1+ Kg7 Rb1 Kf6 Rf1+ Ke6 Rb1 Kf6 Rf1+ Kg6 Rb1 Kf6 Rf1+ Kg6 Rb1 Kg7 Kf4 Re6 Rb5 Rf8+ Rf5 Rb8 Rg5+ Kh6 Rb5 Rf8+ Rf5 Rb8 Rb5 Rf8+ Rf5 Rb8 Rb5 Rf8+ Kg3 Rg6+ Kh3 Rf3+ Kh2 Rf4 Ra3 Rxh4+ Rh3 Rxh3+ Kxh3 Rg8 Kh4 Rb8 Rxh5+ Kg7 Rb5 Kf7 Kg5 Ke6 b7 Kd6 Rb3 Kd5 Kf5 Kc6 Ke6 Rxb7 Rxb7 Kxb7 Kxe7
5,Draw,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Nxe4 d4 b5 Bb3 d5 dxe5 Be6 c3 Bc5 Nbd2 O-O Bc2 Bf5 Nb3 Bg6 Nfd4 Bxd4 Nxd4 Qd7 f4 Nxd4 cxd4 f6 Be3 Rad8 Qe1 Ng3 Qxg3 Bxc2 Rac1 Bd3 Rf2 Rc8 Bd2 Be4 Bb4 Rf7 h3 fxe5 dxe5 Re8 Rcf1 Rf5 Qh4 Rf7 Kh2 d4 Rc1 d3 a3 Qd5 g4 h6 Bc3 g5 Qg3 a5 f5 b4 axb4 axb4 e6 bxc3 exf7+ Kxf7 bxc3 Qc5 Rd2 Re7 c4 Qb4 Rf2 Qc5 Rd2 Qa5 Qf2 Qe5+ Kg1 Bc6 Rcd1 Qe4 Kh2 Ba4 Rc1 Bc2 Kg1 Qxc4 Re1 Re4 Kg2 Rxe1 Qxe1 Qd5+ Kf2 c5 Qe3 c4 Qa7+ Ke8 Qb6 Ke7 Qc7+ Kf6 Qb6+ Ke5 Qe3+ Kf6 Qb6+ Ke7 Qc7+ Kf6 Qb6+ Ke5 Qe3+ Kf6 Qb6+ Ke7 Qc7+ Kf6 Ke3 Qe5+ Qxe5+ Kxe5 Rxc2 dxc2 Kd2 Kd6 Kxc2 Kd5 Kc3 Kc5 Kb2 Kc6 Kc2 Kd6 Kb1 Kd5 Kc1 Kc6 Kd2 Kd6 Ke2 Ke5 Kf1 h5 Ke1 hxg4 hxg4 Kd5 Ke2 Kc5 Ke3 Kd5 Kf3 Ke5 Ke2 Kd5 Ke3 Ke5 Kf3 Kd5 Ke3 Ke5 Ke2 Kd6 Ke1 Kd5 Kd1 Kc5 Kd2 Kc6 Ke3 Kd5 Kf3 Ke5 Ke3 Kd5 Ke2 Kc5 Kd2 Kd5 Ke3 Ke5 Kf3 Kd5 Ke3 Ke5 Kf3 Kd5 Ke3
7,Draw,d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Nf3 Nbd7 Rc1 h6 Bh4 c5 cxd5 Nxd5 Bxe7 Nxe7 Be2 b6 O-O Bb7 dxc5 Nxc5 b4 Nd7 Nb5 Nf6 Ne5 Ned5 Qb3 a6 Nc3 Nd7 Nxd7 Qxd7 Rfd1 Qe7 Na4 Rfc8 h3 Bc6 Bf3 Rab8 Rd4 Qe8 Nb2 Ne7 Bxc6 Rxc6 Rxc6 Qxc6 Rc4 Qa8 Qc2 Rd8 Nd3 Qd5 Rd4 Qa8 Rxd8+ Qxd8 Qc4 Qc8 Qxc8+ Nxc8 Kf1 Kf8 Ke2 Ke7 e4 Kd6 Nb2 h5 f4 Kc6 a4 Ne7 Nd3 Kd6 Ne5 f6 Nc4+ Kc6 Na3 Ng6 Kf3 Nh4+ Kg3 Ng6 Nc2 Kd6 Ne3 Ne7 Kh4 Ng6+ Kg3 Ne7 Kh4 Ng6+ Kg3 Ne7 Nc4+ Kc6 Na3 Kd6 Kh4 Ng6+ Kg3 Ne7 Kh4 Ng6+ Kg3 Ne7 Kf3 Kc6 g3 Ng6 h4 Ne7 g4 hxg4+ Kxg4 f5+ Kf3 Kd6 Nc4+ Kc6 h5 b5 Ne5+ Kd6 a5 fxe4+ Kxe4 Nd5 Nd3 Nf6+ Ke3 Nxh5 Nc5 Nf6 Nxa6 Nd7 Kd3 e5 f5 Kc6 Ke3 Kd6 Kd3 Nf6 Ke2 Nd7 Kd3 Kc6 Ke4 Kd6 Kd3 Kc6 Ke2 Nf6 Nc5 Nd5 Ne6 Nxb4 Nxg7 Nd5 Kd3 b4 Kc4 e4 a6 Ne3+ Kxb4 Kb6 a7 Kxa7 f6 Nd5+ Kc4 Nxf6 Kd4 Kb6 Ne6 Kb5 Nf4 Nd5 Kxe4 Nxf4
9,Draw,e4 c5 Nf3 Nc6 Bb5 e6 Bxc6 bxc6 d3 Qc7 O-O d6 Nfd2 d5 f4 c4 dxc4 Ba6 b3 h5 Qf3 Nf6 Nc3 h4 e5 Ng8 h3 Nh6 Na4 Be7 Qf2 Nf5 Re1 O-O Nf3 c5 Ba3 Rac8 cxd5 exd5 Rad1 Bb7 c3 Ng3 Ng5 Qc6 Qc2 Bxg5 fxg5 Ne4 Rxe4 dxe4 Bxc5 Rfe8 Bd4 e3 Qe2 Qe4 Rd3 Ba6 Rxe3 Qxd4 cxd4 Bxe2 Rxe2 f6 gxf6 gxf6 Nb2 Red8 Re4 fxe5 dxe5 Rc2 Nc4 Kf7 a4 Ke6 Rxh4 Rc3 b4 Rg8 Kf2 Rf8+ Ke2 Kd5 Ne3+ Kxe5 Rg4 Rd8 Nc4+ Kd5 Ne3+ Ke5 Nc4+ Kd5 Ne3+ Ke5 Nc4+ Kd5 Ne3+ Ke5 Nc4+ Ke6 b5 Rdd3 a5 Rg3 Rxg3 Rxg3 b6 Rxg2+ Kf3 Rg7 Kf4 a6 h4 Rf7+ Ke4 Rh7 Kd4 Rxh4+ Kc5 Kd7 Ne5+ Kc8 Kd5 Rh5 Ke4 Kb7 Kd4 Rh1 Nf7 Ra1 Nd8+ Kc8 Nc6 Kb7 Nd8+ Kc8 Nc6 Rd1+ Kc5 Rc1+ Kd5 Rd1+ Kc5 Kb7 Nd4 Rg1 Kd6 Rb1 Kc5 Ra1 Nb3 Rd1 Nd4 Ra1 Nb3 Rd1 Nd4 Rh1 Kd6 Rd1 Kc5 Ra1 Nb3 Rd1 Nd4
8,Draw,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Nf6 Nxc6 bxc6 Bd3 d5 exd5 cxd5 O-O Be7 h3 O-O Re1 c5 Nc3 Be6 Bf4 Bd6 Bxd6 Qxd6 b3 Rad8 Qf3 h6 Rad1 Rfe8 Bb5 Re7 Qe2 g6 Qe5 Qxe5 Rxe5 Rc7 Bc4 Rcd7 Be2 Rd6 Nb5 R6d7 Bf3 Rc8 Nc3 d4 Ne4 Nxe4 Bxe4 Kg7 h4 Rd6 Bd3 c4 bxc4 Ra6 h5 gxh5 Be4 Rxa2 Rxd4 Rxc4 Rxc4 Bxc4 Rxh5 Be6 f4 Ra4 Re5 a5 Bd3 Bc4 Bxc4 Rxc4 Rxa5 Kg6 Ra6+ Kf5 Kh2 Rxc2 Ra7 f6 Ra4 Rc3 Ra6 h5 Ra5+ Kg4 Ra8 Rc5 Ra6 Rf5 g3 h4 gxh4 Kxh4 Rb6 Rxf4 Kg2 Kg4 Ra6 f5 Rg6+ Kh4 Ra6 Rd4 Kf3 Kg5 Ra3 Rf4+ Kg2 Rg4+ Kf3 Rf4+ Kg2 Rc4 Kf3 Rb4 Kg3 Rb5 Kf3 Rb4 Rd3 Rh4 Kg2 Rc4 Rg3+ Rg4 Kh3 Kf4 Rxg4+ fxg4+ Kg2 Ke4 Kg3 Kf5 Kg2 Kg5 Kg3 Kh5 Kg2 Kg5 Kg3 Kf5 Kg2 Kf4 Kf2 Ke4 Kg3 Kf5 Kf2 Kf4 Kg2 Kg5 Kg3 Kh5 Kg2 Kg5 Kh2 Kh4 Kg2 Kg5
11,Draw,e4 e5 Nf3 Nc6 Bc4 Bc5 c3 Nf6 d3 d6 b4 Bb6 a4 a5 b5 Ne7 Nbd2 Ng6 O-O O-O Re1 c6 d4 d5 Bd3 exd4 cxd4 Bg4 bxc6 bxc6 Bb2 Nf4 Bb1 c5 h3 Bh5 e5 Nd7 Nf1 cxd4 Ng3 Bxf3 Qxf3 Ne6 Ba2 Rb8 Ba3 Bc5 Bxd5 Bxa3 Rxa3 Ndc5 Nf5 Rb4 Qg3 g6 Nh6+ Kh8 Bxe6 fxe6 Rf3 Qe7 Ng4 Rfb8 Nf6 Nxa4 Ne4 Nc5 Nd6 Rb3 Rxb3 Nxb3 Qd3 Qc7 Qf3 Qg7 Qg4 Qd7 Re4 Nd2 Re1 Nb3 Re4 Nd2 Re1 Nb3 Re4 Nd2 Re1 Nb3 Re4 Nd2 Re1 Nb3
10,Draw,e4 e5 Nf3 Nf6 Nxe5 d6 Nf3 Nxe4 d4 d5 Bd3 Be7 O-O Bf5 Re1 O-O c4 c6 Qc2 Na6 a3 Bg6 cxd5 cxd5 Ne5 Bf6 Nxg6 hxg6 Be3 Nd6 Nc3 Nc7 Qa4 Re8 Qb3 Nf5 Bxf5 gxf5 Qxb7 Rb8 Qxa7 Ne6 g3 Rxb2 Qa4 Rb8 Rab1 Ra8 Qb4 Re7 Ne2 Rea7 Rb3 Ra4 Qb7 Rxa3 Rxa3 Rxa3 h4 Qa8 Qb2 g6 h5 gxh5 Qc1 h4 gxh4 Bxh4 Kh1 Qa6 Rg1+ Ng7 Bh6 Rh3+ Kg2 Qd3 Kf1 Bf6 Bxg7 Bxg7 Qg5 Qb1+ Nc1 Qb5+ Ne2 Qb1+ Nc1 Qb5+ Ne2 Qb1+ Kg2 Qd3 Kf1 Qb1+ Kg2 Qd3 Kf1 Qb1+
12,Draw,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Nxe4 d4 b5 Bb3 d5 dxe5 Be6 c3 Bc5 Bc2 Bg4 Nbd2 Nxe5 Nxe4 Bxf3 gxf3 dxe4 Bxe4 Qxd1 Rxd1 Rd8 Rxd8+ Kxd8 a4 Ke7 Kg2 Rb8 b4 Bd6 f4 Nc4 axb5 axb5 Ra6 c5 bxc5 Bxc5 Bxh7 Rd8 Bc2 Rd6 Rxd6 Kxd6 Kf3 Bb6 Ke2 Ba5 Kd3 f5 Bb3 Kd5 h4 g6 Bd1 Bb6 Be3 Nb2+ Kc2 Nc4 Bf3+ Kd6 Kd3 Nxe3 fxe3 Ba5 h5 gxh5 Bxh5 Ke6 Bg6 Kf6 Be8 b4 cxb4 Bxb4 Ke2 Ke6 Ba4 Ba5 Bd1 Bb4 Bc2 Bc5 Kf3 Kf6 Bb1 Ba3 Bxf5 Kxf5 e4+ Kf6 Kg4 Bc1 Kf3 Ke6 Kg4 Bd2 Kf3 Kf6 Kg4 Ke6 Kg5 Bc1 Kg4 Kf6 Kf3 Ke6 Kg4 Ba3 Kg3 Bc1 Kf3 Kf6 f5 Bh6 Kg3 Ke5 Kf3 Bd2 Ke2 Bg5 Kd3 Be7 Ke3 Bh4 Kf3 Bf6 Ke3 Bh8 Kf3 Kd4 Kf4 Be5+ Kf3 Bf6 Kf4 Be5+ Kg5 Kxe4 Kg6 Ke3 Kh5 Kf3 Kg6 Ke4 f6 Bxf6
15,Draw,e4 e5 Nf3 Nc6 Bc4 Bc5 d3 Nf6 c3 d6 O-O a6 Re1 Ba7 Nbd2 O-O Bb3 Be6 Nf1 h6 Ng3 Re8 h3 d5 exd5 Bxd5 Bc2 Qd6 Nh4 Ne7 Be3 Bxe3 Rxe3 Ng6 Nxg6 fxg6 c4 Bf7 Qe1 Qd4 Rb1 Rad8 a3 c6 Qa5 Kh8 Qb4 b5 Qe1 Nh5 Nxh5 gxh5 Re4 Qd6 b4 c5 Re3 h4 cxb5 axb5 Bd1 Bg6 Rc1 cxb4 axb4 Bxd3 Bh5 Bg6 Be2 Rf8 Bxb5 Rf4 Rc4 Rdf8 Rxe5 Rxf2 Rxh4 R2f4 Rxf4 Rxf4 Rc5 Qd4+ Kh2 Qxb4 Qe5 Kh7 Rc8 Rf5 Bc4 Rxe5 Bg8+ Kh8 Bf7+ Kh7 Bg8+ Kh8 Bf7+ Kh7 Bg8+ Kh8 Bf7+ Kh7 Bg8+ Kh8 Bf7+ Kh7 Bg8+
13,White,e4 c5 Nf3 Nc6 Bb5 g6 O-O Bg7 c3 Nf6 Re1 O-O d4 d5 e5 Ne4 Be3 Qb6 Bxc6 bxc6 Qc1 cxd4 cxd4 a5 Nc3 Nxc3 Qxc3 Bf5 b3 Rfc8 h3 Qb4 Qb2 a4 Bd2 Qb5 Rec1 axb3 axb3 Bf8 Qc3 h6 Rxa8 Rxa8 Qxc6 Qxc6 Rxc6 Rb8 b4 g5 Ra6 e6 Ra2 Kg7 Rb2 Bd3 h4 gxh4 Nxh4 Be7 g3 Bb5 Ng2 Rc8 Ra2 Bg5 Be3 Bd3 g4 Rc3 Rb2 Bb5 Ra2 Bd3 f4 Be7 Ra7 Bxb4 f5 Ra3 Rb7 exf5 Rxb4 Be4 Rb2 Bxg2 Rxg2 Rxe3 gxf5+ Kf8 f6 Re1+ Kh2 Re3 Rb2 Kg8 Rb7 h5 Rd7 h4 Rc7 h3 Rb7 Rf3 Rd7 Re3 Rc7 Rf3 Rb7 Re3 Rb1 Rf3 Rg1+ Kh8 Rg3 Rf4 Kxh3 Re4 Rg4 Re3+ Kg2 Rb3 Kf2 Rc3 Rg1 Ra3 Rh1+ Kg8 Rg1+ Kh8 Rh1+ Kg8 Rb1 Kh7 Rb5 Ra2+ Ke3 Ra3+ Kf4 Rh3 Rxd5 Kg6 Rd7 Rh4+ Ke3 Rh1 Ra7 Re1+ Kd2 Re4 Kd3 Re1 Kc4 Rc1+ Kd5 Rd1 Kc5 Rb1 d5 Rb8 d6 Rb3 d7 Rd3 Kc6 Kf5 Ra8 Kxe5 d8=Q Rxd8 Rxd8 Ke6 Rd6+ Kf5 Kd7 Kg5 Ke7 Kf5 Kxf7 Ke5 Ke7 Ke4 f7 Ke3 f8=Q Ke4 Qf7 Ke3 Kf6 Kf3 Kg5+ Ke2 Qb3 Ke1 Qc2 Kf1 Rd1#
14,White,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Nxe4 d4 b5 Bb3 d5 dxe5 Be6 c3 Bc5 Nbd2 O-O Bc2 Bf5 Nb3 Bg6 Nfd4 Bxd4 Nxd4 Qd7 f4 Nxd4 cxd4 f6 Be3 Rad8 Qe2 c6 Qe1 a5 Qxa5 Ng3 Rf2 Ne4 Bxe4 Bxe4 Qb6 Rb8 Qc5 b4 a4 bxa3 Rxa3 Rb5 Qc3 h6 h3 Kh7 b4 Qe7 Ra4 Rfb8 Bd2 fxe5 fxe5 Qe8 Ra6 R5b6 Ra2 R6b7 Qg3 Rc7 Qf4 Ra8 Ra5 Rb7 Kh2 Re7 Be3 Rb8 Bd2 Ra8 Be1 Rd8 Bd2 Ra8 Be1 Rb8 Ra3 Ra8 Ra5 Rb8 Ra3 Ra8 Ra5 Rd8 Rfa2 Rf7 Qg4 Bf5 Qg3 Be4 Qg4 Bf5 Qg3 Be4 Qg4 Rb8 Ra7 Rbb7 R7a6 Rf1 Ra8 Qf7 Rd8 Qf5 Bh4 Rf4 Qxf5+ Bxf5 g4 Bd7 Bf2 Kg6 Re2 Re4 Rxe4 dxe4 b5 cxb5 d5 b4 e6 Bb5 Kg3 b3 Bd4 e3 d6 e2 Kf2 Rb6 e7 h5 gxh5+ Kf7 Rf8+ Ke6 e8=Q+ Bxe8 Rxe8+ Kd7 Rxe2 Rb5 Re5 Rb4 Bb2 Rc4 Kf3 Rc2 Re2 Rc4 Bxg7 Rh4 h6 Rxh3+ Kg2 Rh5 Rb2 Rg5+ Kf3 Rf5+ Kg4 Rf7 Rxb3 Ke6 Rb6 Kd5 Kg5 Kc5 Ra6 Kb5 Ra8 Rb7 Kf6 Kc5 h7 Rb6 Rd8 Rb1 Ke6 Re1+ Be5 Rxe5+ Kxe5 Kc4 Ke6 Kd3 Rc8 Ke3 h8=Q Kf3 Qh3+ Ke2 Rc2+ Kd1 Qd3+ Ke1 Qe2#
